Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,ID,"Which of the following charts is the best at answering the question examining the relationship of ""Home ownership rate"" and the ""number of households"" in this dataset?",Which of the scatterplot images is encoded in the following Parallel Coordinates plot?,"Please rank the following charts in descending order according to the Housing ""Units.""",How do you display Hello World! on the screen in Python?,"In this parallel coordinates plot, what is the correlation between Atomic Number and Atomic Weight?","We get the following chart on using filtering to remove rows with Median Family Income less than 100,000.  What can we say about the Average Cost of the colleges that the students from those households go to?","In this parallel coordinates plot of a cars dataset, the user has selected only the cars that have 8 cylinders. 

Based on reading this chart, what would you say is the range for the HP (Horsepower) of 8-cylinder cars?","In this parallel coordinates plot of happiness metrics in various countries, the user has selected countries shown using the blue polylines.

What is the range of values for the Labor Union variable for the select countries?","Which of the following charts is the best to answer a question examining the relationship between ""Displacement"" and ""Weight in Lbs"" when exploring data about cars?","Sort the following parallel coordinates charts in descending order based on the ""AverageCost"" to attend the university.",Which of the following scatterplot images is encoded in the following parallel coordinates plot?,The following charts show two different visualization techniques (scatterplot matrix vs parallel coordinates) to visualize the same data. Please specify one advantage and one disadvantage for each technique?,Is this an example of a parallel coordinates plot?,"In this parallel coordinates plot, what is the correlation between Year and TotalPopulation?","In the parallel coordinates plot below, what is the correlation between the fat(g) and the carbohydrate (g)?","We get the following chart on using filtering to remove rows with Median Family Income less than 100,000.  What can we say about the Average Cost of the colleges that the students from those households go to?","In this parallel coordinates plot of a cars dataset, the user has selected only the cars that have displacement above 400. 

Based on reading this chart, what would you say is the range for the HP (Horsepower) of these cars?","In this parallel coordinates plot, the user has selected countries shown using the black polylines? Which island has the highest ""bill_length_mm"" value?",FA1_Score,FA2_Score,Score1,Score2,Score3,,,
12/31/23 6:30,12/31/23 6:45,IP Address,88.245.247.178,100,872,TRUE,12/31/23 6:45,R_4qwQEm47CSDHnEt,,,,,37.0616,37.3509,anonymous,EN,3019,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"while a scatterplot matrix excels in showcasing pairwise relationships, it struggles with higher dimensions. On the other hand, parallel coordinates handle higher dimensions better but might be challenging to interpret when dealing with numerous variables. The choice between these techniques often depends on the complexity of the data and the specific insights one aims to derive.
",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 250)",Dream,8,8,8,,,,,
12/29/23 16:47,12/29/23 16:57,IP Address,5.229.1.103,100,558,TRUE,12/29/23 16:57,R_41bsBjpJI9amPbP,,,,,36.9315,35.3303,anonymous,EN,3029,B,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,D,"A scatterplot matrix enables the simultaneous visualization of relationships between multiple variables. Each cell in the matrix represents the scatterplot of two variables, allowing for the exploration of multivariate patterns and correlations in the data.
Parallel coordinates aid in exploring multidimensional datasets. By observing the way lines representing data points intersect and diverge across multiple axes, patterns and trends in the data can be identified. This technique is especially helpful for datasets with a large number of dimensions.
",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,7,8,3,7,,,,
12/30/23 10:29,12/30/23 10:43,IP Address,81.213.40.114,100,838,TRUE,12/30/23 10:43,R_4k7dPfZr3JKAzAj,,,,,41.0247,28.9252,anonymous,EN,3031,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"In scatterplot matrices we can compare 2 variables, but multivariate values cannot be visualized.

In parallel coordinates we can compare more than 2 variables but the correlation between them may change according to axes' positions.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(200, 250)",Dream,8,8,8,,,,,
12/25/23 5:51,12/25/23 6:00,IP Address,46.197.24.168,100,548,TRUE,12/25/23 6:00,R_47m415iH8WDQeOt,,,,,36.9868,35.3115,anonymous,EN,3037,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,C,"The parallel coordinates method is more understandable but insufficient in distribution analysis. The scatterplot matrix method is insufficient to analyze data owners one by one, but it shows the distribution well.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,8,8,8,,,,,
12/27/23 2:57,12/27/23 3:12,IP Address,78.160.131.229,100,843,TRUE,12/27/23 3:12,R_4MC3B2w7bkanUFb,,,,,36.9315,35.3303,anonymous,EN,3038,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,"Students from high Median Family Income families have a high Median Debt (greater than 30,000)","(90, 220)","(0, 28)",B,C > B > A > D,A,"Parallel Coordinates Chart
Displaying Multiple Variables: Parallel coordinates charts have the ability to display several variables on the same chart. This is ideal for understanding data in multiple dimensions

Scatterplot
Distribution Analysis: Scatter plots can be used to analyze the overall distribution and densities of values in a dataset. This is crucial for understanding trends and patterns in the dataset.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,6,9,6,,,,,
12/30/23 11:17,12/30/23 11:38,IP Address,159.146.107.20,100,1230,TRUE,12/30/23 11:38,R_3fQHqpiVTH9jWQF,,,,,41.0247,28.9252,anonymous,EN,3040,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,scatterplot matrix can be hard to interpret when used with lots of attributes,They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,8,9,8,,,,,
12/27/23 1:45,12/27/23 1:51,IP Address,188.119.7.174,100,368,TRUE,12/27/23 1:51,R_4rSFa1SPOTqvpjr,,,,,36.9483,35.3543,anonymous,EN,3043,D,B,4 > 1 > 3 > 2,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,B > D > A > C,B,first one is hard to understand second one is easy to understand,They are negatively correlated,They are positively correlated,Not sure,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 300)",Biscoe,6,4,6,,,,,
2/27/2024 17:09:39,2/27/2024 17:19:57,IP Address,138.202.129.22,100,617,True,2/27/2024 17:19:57,R_6oR4qqmL7uBgboR,,,,,37.78,-122.465,anonymous,EN,5001,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(0, 100)",B,C > B > A > D,B,"Parallel Coordinates
Pro: Easy to follow the correlation of variables
Con: Is very cluttered; hard to look at individual data points

ScatterPlot Matrix
Pro: Gives a good overview of each variable's relationship with itself and one another
Con: many scatter plots to focus on; may take up too much space if not every variables is the focus at the moment",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(200, 250)",Dream,7,7,7,,,,,7
2/27/2024 17:08:28,2/27/2024 17:21:00,IP Address,138.202.129.11,100,752,True,2/27/2024 17:21:01,R_1kwc2JkpvwS8lUZ,,,,,37.78,-122.465,anonymous,EN,5002,D,A,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,D > A > C > B,A,"For the Scatterplot Matrix, you can see specific correlations between multiple variables. A disadvantage of matrices is the diagonal part of the matrix which does not really give any helpful information. Parallel Coordinates help reduce the number of dimensions and restricts the data only to the horizontal dimension. A disadvantage of this is that data can be cluttered.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,7,8,7,,,,,8
2/27/2024 17:12:14,2/27/2024 17:22:43,IP Address,138.202.129.207,100,629,True,2/27/2024 17:22:44,R_3SJ3Lip4XunZpqN,,,,,37.78,-122.465,anonymous,EN,5004,C,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Using PCP is better at understanding how the correlation works. But on the other hand, the clutter in the PCP makes it difficult to see specific values ",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,7,9,7,,,,,9
2/27/2024 17:12:07,2/27/2024 17:23:32,IP Address,138.202.129.125,100,684,True,2/27/2024 17:23:32,R_6c5UbJdgRBdty0M,,,,,37.78,-122.465,anonymous,EN,5005,D,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Scatterplot matrix: 
- Advantage: it is easier to see the correlation between two variables
- Disadvantage: it is more difficult to draw comparisons between correlations

Parallel Coordinates:
- Advantage: it is easier to draw comparisons between correlations
- Disadvantage: the clutter makes it hard to distinguish

",They are positively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,8,8,8,,,,,8
2/27/2024 17:10:15,2/27/2024 17:24:20,IP Address,166.198.34.130,100,844,True,2/27/2024 17:24:20,R_3h15Zm2YTWTBaLL,,,,,37.3083,-121.9643,anonymous,EN,5006,D,D,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(4, 64)",B,C > B > A > D,A,"Scatterplot matrix shows data in a more discrete manner, while the parallel coords chart better demonstrate correlation. ",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(175, 230)",Dream,7,9,7,,,,,9
2/27/2024 17:12:22,2/27/2024 17:27:35,IP Address,138.202.129.70,100,913,True,2/27/2024 17:27:36,R_72F8aJVfr2WF1PT,,,,,37.78,-122.465,anonymous,EN,5007,D,A,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(90, 220)","(0, 100)",B,D > A > C > B,C,The first one is better for individual comparison. The second one is better for comparison between pairs.,They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 250)",Dream,6,6,5,6,,,6,
2/27/2024 17:19:17,2/27/2024 17:28:42,IP Address,138.202.129.216,100,565,True,2/27/2024 17:28:43,R_325WXVRpv6WUTuq,,,,,37.78,-122.465,anonymous,EN,5003,C,B,2 > 3 > 1 > 4,They are positively correlated,They are positively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(0, 240)","(4, 64)",B,C > B > A > D,A,"Scatterplot matrics have some overdraw issues, but it clearly shows the correlation between each elements.
The parallel coordinates shows the number and comparison more clear.",They are negatively correlated,They are positively correlated,They are negatively correlated,Students from high Median Family Income families go to colleges that have a high Average Cost,"(150, 250)",Biscoe,6,7,6,,,,,7
